"Year","Date","SPECIES","SURVEY_TYPE","STOCK","COUNT","OFFICIAL_ESCAPEMENT","METHOD","JulianDay","Days","FishDays","SumFishDays","EscInd","SumEscape","PercentEscape"
1960,1960-08-11,"Pink Salmon","Aerial","Port Graham River",8000,15000,"",223,3,22500,83750,1285.71428571429,4785.71428571429,0.317655983311208
1960,1960-08-15,"Pink Salmon","Aerial","Port Graham River",8350,15000,"",227,4,32700,116450,1868.57142857143,6654.28571428571,0.441684050824957
1960,1960-08-22,"Pink Salmon","Aerial","Port Graham River",3300,15000,"",234,7,40775,157225,2330,8984.28571428571,0.596339844490802
1960,1960-08-25,"Pink Salmon","Aerial","Port Graham River",9900,15000,"",237,3,19800,177025,1131.42857142857,10115.7142857143,0.671439408306467
1960,1960-09-11,"Pink Salmon","Aerial","Port Graham River",0,15000,"",254.5,17.5,86625,263650,4950,15065.7142857143,1
1960,1960-07-02,"Pink Salmon","Aerial","Rocky River",0,130000,"Peak Count",183.5,0,0,0,0,0,0
1960,1960-07-20,"Pink Salmon","Aerial","Rocky River",1000,130000,"Peak Count",201,17.5,8750,8750,500,500,0.0042113875920489
1960,1960-07-27,"Pink Salmon","Aerial","Rocky River",1100,130000,"Peak Count",208,7,7350,16100,420,920,0.00774895316936998
1960,1960-07-29,"Pink Salmon","Aerial","Rocky River",1500,130000,"Peak Count",210,2,2600,18700,148.571428571429,1068.57142857143,0.00900033691100736
1960,1960-08-12,"Pink Salmon","Aerial","Rocky River",1500,130000,"Peak Count",224,14,21000,39700,1200,2268.57142857143,0.0191076671319247
1960,1960-08-25,"Pink Salmon","Aerial","Rocky River",133000,130000,"Peak Count",237,13,874250,913950,49957.1428571429,52225.7142857143,0.439885450257496
1960,1960-09-11,"Pink Salmon","Aerial","Rocky River",0,130000,"Peak Count",254.5,17.5,1163750,2077700,66500,118725.714285714,1
1960,1960-07-12,"Pink Salmon","Aerial","Sunday Creek",0,1500,"",193.5,0,0,0,0,0,0
1960,1960-07-30,"Pink Salmon","Aerial","Sunday Creek",1500,1500,"",211,17.5,13125,13125,750,750,0.5
1960,1960-08-16,"Pink Salmon","Aerial","Sunday Creek",0,1500,"",228.5,17.5,13125,26250,750,1500,1
1960,1960-07-01,"Pink Salmon","Aerial","Tutka Creek",0,15000,"",182.5,0,0,0,0,0,0
1960,1960-07-19,"Pink Salmon","Aerial","Tutka Creek",2500,15000,"",200,17.5,21875,21875,1250,1250,0.0896057347670251
1960,1960-07-20,"Pink Salmon","Aerial","Tutka Creek",4000,15000,"",201,1,3250,25125,185.714285714286,1435.71428571429,0.102918586789555
1960,1960-07-27,"Pink Salmon","Aerial","Tutka Creek",6000,15000,"",208,7,35000,60125,2000,3435.71428571429,0.246287762416795
1960,1960-07-29,"Pink Salmon","Aerial","Tutka Creek",10000,15000,"",210,2,16000,76125,914.285714285714,4350,0.311827956989247
1960,1960-08-08,"Pink Salmon","Aerial","Tutka Creek",5000,15000,"",220,10,75000,151125,4285.71428571429,8635.71428571429,0.619047619047619
1960,1960-08-11,"Pink Salmon","Aerial","Tutka Creek",6000,15000,"",223,3,16500,167625,942.857142857143,9578.57142857143,0.686635944700461
1960,1960-08-12,"Pink Salmon","Aerial","Tutka Creek",6000,15000,"",224,1,6000,173625,342.857142857143,9921.42857142857,0.711213517665131
1960,1960-08-15,"Pink Salmon","Aerial","Tutka Creek",6000,15000,"",227,3,18000,191625,1028.57142857143,10950,0.78494623655914
1960,1960-09-01,"Pink Salmon","Aerial","Tutka Creek",0,15000,"",244.5,17.5,52500,244125,3000,13950,1
1960,1960-06-11,"Pink Salmon","Aerial","Windy Bay Left Creek",0,8000,"",162.5,0,0,0,0,0,0
1960,1960-06-29,"Pink Salmon","Aerial","Windy Bay Left Creek",700,8000,"",180,17.5,6125,6125,350,350,0.0138905740265542
1960,1960-07-03,"Pink Salmon","Aerial","Windy Bay Left Creek",1500,8000,"",184,4,4400,10525,251.428571428571,601.428571428571,0.0238691088374667
1960,1960-07-19,"Pink Salmon","Aerial","Windy Bay Left Creek",2000,8000,"",200,16,28000,38525,1600,2201.42857142857,0.0873688758160003
1960,1960-07-26,"Pink Salmon","Aerial","Windy Bay Left Creek",2700,8000,"",207,7,16450,54975,940,3141.42857142857,0.124674988915889
1960,1960-08-08,"Pink Salmon","Aerial","Windy Bay Left Creek",23000,8000,"",220,13,167050,222025,9545.71428571429,12687.1428571429,0.503519134407462
1960,1960-08-16,"Pink Salmon","Aerial","Windy Bay Left Creek",5579,8000,"",228,8,114316,336341,6532.34285714286,19219.4857142857,0.76277054019025
1960,1960-08-25,"Pink Salmon","Aerial","Windy Bay Left Creek",6000,8000,"",237,9,52105.5,388446.5,2977.45714285714,22196.9428571429,0.880937936915249
1960,1960-09-11,"Pink Salmon","Aerial","Windy Bay Left Creek",0,8000,"",254.5,17.5,52500,440946.5,3000,25196.9428571429,1
1960,1960-07-08,"Pink Salmon","Aerial","Windy Bay Right Creek",0,8000,"",189.5,0,0,0,0,0,0
1960,1960-07-26,"Pink Salmon","Aerial","Windy Bay Right Creek",3500,8000,"",207,17.5,30625,30625,1750,1750,0.221451710872646
1960,1960-08-16,"Pink Salmon","Aerial","Windy Bay Right Creek",3684,8000,"",228,21,75432,106057,4310.4,6060.4,0.766906256327192
1960,1960-09-02,"Pink Salmon","Aerial","Windy Bay Right Creek",0,8000,"",245.5,17.5,32235,138292,1842,7902.4,1
1960,1960-06-28,"Pink Salmon","Ground","Humpy Creek",0,10000,"",179.5,0,0,0,0,0,0
1960,1960-07-16,"Pink Salmon","Ground","Humpy Creek",55,10000,"",197,17.5,481.25,481.25,27.5,27.5,0.00361220832590563
1960,1960-07-25,"Pink Salmon","Ground","Humpy Creek",10000,10000,"",206,9,45247.5,45728.75,2585.57142857143,2613.07142857143,0.34323484983534
1960,1960-08-11,"Pink Salmon","Ground","Humpy Creek",0,10000,"",223.5,17.5,87500,133228.75,5000,7613.07142857143,1
1960,1960-07-30,"Pink Salmon","Ground","Tonsina Creeks",0,0,"",211.5,0,0,0,0,0,0
1960,1960-08-17,"Pink Salmon","Ground","Tonsina Creeks",25,0,"",229,17.5,218.75,218.75,12.5,12.5,0.5
1960,1960-09-03,"Pink Salmon","Ground","Tonsina Creeks",0,0,"",246.5,17.5,218.75,437.5,12.5,25,1
1960,1960-06-30,"Sockeye Salmon","Aerial","Amakdedori Creek",0,1500,"",181.5,0,0,0,0,0,0
1960,1960-07-18,"Sockeye Salmon","Aerial","Amakdedori Creek",1500,1500,"",199,17.5,13125,13125,750,750,0.5
1960,1960-08-04,"Sockeye Salmon","Aerial","Amakdedori Creek",0,1500,"",216.5,17.5,13125,26250,750,1500,1
1960,1960-06-23,"Sockeye Salmon","Aerial","Chenik Lake",0,800,"",174.5,0,0,0,0,0,0
1960,1960-07-11,"Sockeye Salmon","Aerial","Chenik Lake",950,800,"",192,17.5,8312.5,8312.5,475,475,0.267929089443997
1960,1960-07-30,"Sockeye Salmon","Aerial","Chenik Lake",750,800,"",211,19,16150,24462.5,922.857142857143,1397.85714285714,0.788477034649476
1960,1960-08-16,"Sockeye Salmon","Aerial","Chenik Lake",0,800,"",228.5,17.5,6562.5,31025,375,1772.85714285714,1
1960,1960-07-26,"Sockeye Salmon","Ground","Bear Lake",0,9300,"",207.5,0,0,0,0,0,0
1960,1960-08-13,"Sockeye Salmon","Ground","Bear Lake",9318,9300,"",225,17.5,81532.5,81532.5,4659,4659,0.528902057517065
1960,1960-08-16,"Sockeye Salmon","Ground","Bear Lake",13,9300,"",228,3,13996.5,95529,799.8,5458.8,0.619697478337445
1960,1960-10-13,"Sockeye Salmon","Ground","Bear Lake",1543,9300,"",286,58,45124,140653,2578.51428571429,8037.31428571429,0.912417270363937
1960,1960-10-30,"Sockeye Salmon","Ground","Bear Lake",0,9300,"",303.5,17.5,13501.25,154154.25,771.5,8808.81428571428,1
1960,1960-06-11,"Sockeye Salmon","Ground","Delight Lake",0,1000,"",162.5,0,0,0,0,0,0
1960,1960-06-29,"Sockeye Salmon","Ground","Delight Lake",75,1000,"",180,17.5,656.25,656.25,37.5,37.5,0.0206978119455943
1960,1960-07-16,"Sockeye Salmon","Ground","Delight Lake",1200,1000,"",197,17,10837.5,11493.75,619.285714285714,656.785714285714,0.362507392075695
1960,1960-08-13,"Sockeye Salmon","Ground","Delight Lake",150,1000,"",225,28,18900,30393.75,1080,1736.78571428571,0.958604376108811
1960,1960-08-30,"Sockeye Salmon","Ground","Delight Lake",0,1000,"",242.5,17.5,1312.5,31706.25,75,1811.78571428571,1
1960,1960-06-28,"Sockeye Salmon","Ground","Desire Lake",0,4000,"",179.5,0,0,0,0,0,0
1960,1960-07-16,"Sockeye Salmon","Ground","Desire Lake",4000,4000,"",197,17.5,35000,35000,2000,2000,0.272188198697385
1960,1960-07-26,"Sockeye Salmon","Ground","Desire Lake",2100,4000,"",207,10,30500,65500,1742.85714285714,3742.85714285714,0.509380771847963
1960,1960-09-13,"Sockeye Salmon","Ground","Desire Lake",350,4000,"",256,49,60025,125525,3430,7172.85714285714,0.976183532613979
1960,1960-09-30,"Sockeye Salmon","Ground","Desire Lake",0,4000,"",273.5,17.5,3062.5,128587.5,175,7347.85714285714,1
1960,1960-05-26,"Sockeye Salmon","Ground","English Bay Lakes",0,16000,"",146.5,0,0,0,0,0,0
1960,1960-06-13,"Sockeye Salmon","Ground","English Bay Lakes",175,16000,"",164,17.5,1531.25,1531.25,87.5,87.5,0.0139149202021923
1960,1960-06-15,"Sockeye Salmon","Ground","English Bay Lakes",400,16000,"",166,2,575,2106.25,32.8571428571429,120.357142857143,0.0191401147270972
1960,1960-06-30,"Sockeye Salmon","Ground","English Bay Lakes",2240,16000,"",181,15,19800,21906.25,1131.42857142857,1251.78571428571,0.199068552280343
1960,1960-07-15,"Sockeye Salmon","Ground","English Bay Lakes",4390,16000,"",196,15,49725,71631.25,2841.42857142857,4093.21428571429,0.65093428749929
1960,1960-08-01,"Sockeye Salmon","Ground","English Bay Lakes",0,16000,"",213.5,17.5,38412.5,110043.75,2195,6288.21428571429,1
1961,1961-06-25,"Pink Salmon","Aerial","Barabara Creek",0,100,"",175.5,0,0,0,0,0,0
1961,1961-07-13,"Pink Salmon","Aerial","Barabara Creek",300,100,"",193,17.5,2625,2625,150,150,0.558510638297872
1961,1961-07-15,"Pink Salmon","Aerial","Barabara Creek",25,100,"",195,2,325,2950,18.5714285714286,168.571428571429,0.627659574468085
